algo;eps;tam;max;count_err
quick;0.001;1000;221;8
quick;0.001;1000;380;9
quick;0.001;1000;214;11
quick;0.001;1000;182;10
quick;0.001;1000;193;16
quick;0.001;1000;313;9
quick;0.001;1000;281;9
quick;0.001;1000;244;10
quick;0.001;1000;380;7
quick;0.001;1000;346;8
merge;0.001;1000;317;5
merge;0.001;1000;239;10
merge;0.001;1000;271;8
merge;0.001;1000;221;7
merge;0.001;1000;710;5
merge;0.001;1000;431;6
merge;0.001;1000;292;10
merge;0.001;1000;244;9
merge;0.001;1000;210;11
merge;0.001;1000;368;4
bubble;0.001;1000;817;3
bubble;0.001;1000;560;1
bubble;0.001;1000;679;2
bubble;0.001;1000;379;6
bubble;0.001;1000;985;1
bubble;0.001;1000;525;3
bubble;0.001;1000;886;2
bubble;0.001;1000;854;2
bubble;0.001;1000;548;6
bubble;0.001;1000;772;4
insertion;0.001;1000;86;41
insertion;0.001;1000;75;51
insertion;0.001;1000;84;47
insertion;0.001;1000;79;41
insertion;0.001;1000;89;47
insertion;0.001;1000;65;52
insertion;0.001;1000;67;55
insertion;0.001;1000;55;48
insertion;0.001;1000;76;43
insertion;0.001;1000;90;39
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
bubble;0.0001;10000;10000;0
insertion;0.0001;10000;8080;1
insertion;0.0001;10000;9011;1
insertion;0.0001;10000;5156;2
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;9385;1
insertion;0.0001;10000;10000;0
insertion;0.0001;10000;9920;1
insertion;0.0001;10000;10000;0
merge;0.0001;10000;5477;5
merge;0.0001;10000;3541;5
merge;0.0001;10000;2674;8
merge;0.0001;10000;3947;6
merge;0.0001;10000;4543;6
merge;0.0001;10000;3388;7
merge;0.0001;10000;8163;4
merge;0.0001;10000;3970;3
merge;0.0001;10000;2840;4
merge;0.0001;10000;2140;9
quick;0.0001;10000;1473;9
quick;0.0001;10000;1748;13
quick;0.0001;10000;1699;17
quick;0.0001;10000;2077;16
quick;0.0001;10000;1605;14
quick;0.0001;10000;1815;9
quick;0.0001;10000;2601;12
quick;0.0001;10000;3104;15
quick;0.0001;10000;3193;17
quick;0.0001;10000;2154;14
bubble;0.01;100;54;5
bubble;0.01;100;57;7
bubble;0.01;100;66;4
bubble;0.01;100;54;4
bubble;0.01;100;57;5
bubble;0.01;100;46;7
bubble;0.01;100;75;4
bubble;0.01;100;59;3
bubble;0.01;100;53;6
bubble;0.01;100;48;3
insertion;0.01;100;21;10
insertion;0.01;100;17;12
insertion;0.01;100;26;8
insertion;0.01;100;22;7
insertion;0.01;100;19;13
insertion;0.01;100;22;13
insertion;0.01;100;21;12
insertion;0.01;100;14;16
insertion;0.01;100;21;7
insertion;0.01;100;19;14
merge;0.01;100;40;7
merge;0.01;100;21;9
merge;0.01;100;31;8
merge;0.01;100;34;7
merge;0.01;100;35;7
merge;0.01;100;34;5
merge;0.01;100;34;4
merge;0.01;100;49;2
merge;0.01;100;39;3
merge;0.01;100;100;0
quick;0.01;100;48;5
quick;0.01;100;39;5
quick;0.01;100;56;3
quick;0.01;100;42;5
quick;0.01;100;65;2
quick;0.01;100;46;8
quick;0.01;100;22;8
quick;0.01;100;22;9
quick;0.01;100;51;3
quick;0.01;100;29;5
bubble;0.01;1000;193;35
bubble;0.01;1000;316;5
bubble;0.01;1000;544;1
bubble;0.01;1000;439;3
bubble;0.01;1000;343;6
bubble;0.01;1000;278;6
bubble;0.01;1000;475;4
bubble;0.01;1000;447;4
bubble;0.01;1000;402;3
bubble;0.01;1000;386;5
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
merge;0.0001;1000;1000;0
merge;0.0001;1000;1000;0
merge;0.0001;1000;978;1
merge;0.0001;1000;526;1
merge;0.0001;1000;780;1
merge;0.0001;1000;592;2
merge;0.0001;1000;907;1
merge;0.0001;1000;1000;0
merge;0.0001;1000;1000;0
merge;0.0001;1000;1000;0
merge;0.01;1000;77;72
merge;0.01;1000;87;42
merge;0.01;1000;136;46
merge;0.01;1000;94;54
merge;0.01;1000;65;53
merge;0.01;1000;94;47
merge;0.01;1000;98;42
merge;0.01;1000;92;55
merge;0.01;1000;79;60
merge;0.01;1000;74;54
quick;0.0001;1000;793;1
quick;0.0001;1000;1000;0
quick;0.0001;1000;589;1
quick;0.0001;1000;668;2
quick;0.0001;1000;722;1
quick;0.0001;1000;1000;0
quick;0.0001;1000;618;3
quick;0.0001;1000;532;2
quick;0.0001;1000;526;1
quick;0.0001;1000;668;2
quick;0.01;1000;89;68
quick;0.01;1000;49;67
quick;0.01;1000;61;53
quick;0.01;1000;57;68
quick;0.01;1000;44;66
quick;0.01;1000;57;67
quick;0.01;1000;76;62
quick;0.01;1000;61;60
quick;0.01;1000;70;63
quick;0.01;1000;69;74
insertion;0.0001;1000;140;16
insertion;0.0001;1000;167;14
insertion;0.0001;1000;228;5
insertion;0.0001;1000;286;4
insertion;0.0001;1000;583;1
insertion;0.0001;1000;503;2
insertion;0.0001;1000;1000;0
insertion;0.0001;1000;1000;0
insertion;0.0001;1000;1000;0
insertion;0.0001;1000;1000;0
insertion;0.01;1000;24;141
insertion;0.01;1000;28;108
insertion;0.01;1000;45;94
insertion;0.01;1000;42;99
insertion;0.01;1000;44;95
insertion;0.01;1000;55;83
insertion;0.01;1000;62;86
insertion;0.01;1000;53;82
insertion;0.01;1000;65;72
insertion;0.01;1000;54;68
insertion;0.001;100;52;3
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;100;0
insertion;0.001;100;93;1
insertion;0.0001;100;71;1
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
insertion;0.0001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;41;3
merge;0.001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;100;0
merge;0.001;100;96;1
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
merge;0.0001;100;100;0
bubble;0.001;100;79;2
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.001;100;100;0
bubble;0.0001;100;96;1
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
bubble;0.0001;100;100;0
quick;0.001;100;64;1
quick;0.001;100;88;1
quick;0.001;100;65;1
quick;0.001;100;100;0
quick;0.001;100;100;0
quick;0.001;100;100;0
quick;0.001;100;100;0
quick;0.001;100;100;0
quick;0.001;100;67;1
quick;0.001;100;58;2
quick;0.0001;100;100;0
quick;0.0001;100;65;1
quick;0.0001;100;100;0
quick;0.0001;100;100;0
quick;0.0001;100;100;0
quick;0.0001;100;100;0
quick;0.0001;100;100;0
quick;0.0001;100;100;0
quick;0.0001;100;100;0
quick;0.0001;100;100;0
bubble;0.01;1000;411;26
bubble;0.01;1000;594;26
bubble;0.01;1000;189;36
bubble;0.01;1000;353;30
bubble;0.01;1000;539;28
bubble;0.01;1000;191;31
bubble;0.01;1000;313;36
bubble;0.01;1000;527;29
bubble;0.01;1000;228;30
bubble;0.01;1000;630;22
bubble;0.001;1000;561;4
bubble;0.001;1000;762;3
bubble;0.001;1000;604;7
bubble;0.001;1000;586;2
bubble;0.001;1000;619;2
bubble;0.001;1000;992;1
bubble;0.001;1000;677;4
bubble;0.001;1000;612;3
bubble;0.001;1000;1000;0
bubble;0.001;1000;883;2
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
bubble;0.0001;1000;1000;0
insertion;0.0001;1000;239;19
insertion;0.0001;1000;194;12
insertion;0.0001;1000;114;18
insertion;0.0001;1000;199;15
insertion;0.0001;1000;162;10
insertion;0.0001;1000;189;16
insertion;0.0001;1000;260;14
insertion;0.0001;1000;189;16
insertion;0.0001;1000;140;20
insertion;0.0001;1000;178;17
insertion;0.001;1000;70;57
insertion;0.001;1000;94;46
insertion;0.001;1000;70;51
insertion;0.001;1000;65;44
insertion;0.001;1000;75;41
insertion;0.001;1000;61;58
insertion;0.001;1000;73;49
insertion;0.001;1000;72;37
insertion;0.001;1000;55;55
insertion;0.001;1000;54;47
insertion;0.01;1000;24;149
insertion;0.01;1000;29;134
insertion;0.01;1000;42;144
insertion;0.01;1000;25;143
insertion;0.01;1000;27;156
insertion;0.01;1000;29;139
insertion;0.01;1000;30;140
insertion;0.01;1000;29;151
insertion;0.01;1000;35;137
insertion;0.01;1000;22;147
merge;0.0001;1000;690;2
merge;0.0001;1000;1000;0
merge;0.0001;1000;850;1
merge;0.0001;1000;1000;0
merge;0.0001;1000;550;2
merge;0.0001;1000;773;1
merge;0.0001;1000;812;1
merge;0.0001;1000;1000;0
merge;0.0001;1000;1000;0
merge;0.0001;1000;638;2
merge;0.001;1000;535;5
merge;0.001;1000;412;7
merge;0.001;1000;347;3
merge;0.001;1000;260;7
merge;0.001;1000;205;9
merge;0.001;1000;399;7
merge;0.001;1000;659;4
merge;0.001;1000;327;6
merge;0.001;1000;264;9
merge;0.001;1000;484;3
merge;0.01;1000;66;79
merge;0.01;1000;100;62
merge;0.01;1000;47;78
merge;0.01;1000;71;63
merge;0.01;1000;107;74
merge;0.01;1000;61;73
merge;0.01;1000;66;69
merge;0.01;1000;59;66
merge;0.01;1000;45;68
merge;0.01;1000;53;75
quick;0.0001;1000;515;2
quick;0.0001;1000;483;2
quick;0.0001;1000;607;2
quick;0.0001;1000;1000;0
quick;0.0001;1000;512;3
quick;0.0001;1000;1000;0
quick;0.0001;1000;685;3
quick;0.0001;1000;489;2
quick;0.0001;1000;372;2
quick;0.0001;1000;1000;0
quick;0.001;1000;342;8
quick;0.001;1000;225;7
quick;0.001;1000;463;4
quick;0.001;1000;448;8
quick;0.001;1000;185;14
quick;0.001;1000;232;11
quick;0.001;1000;236;8
quick;0.001;1000;294;9
quick;0.001;1000;371;7
quick;0.001;1000;195;13
quick;0.01;1000;85;61
quick;0.01;1000;72;62
quick;0.01;1000;89;59
quick;0.01;1000;61;79
quick;0.01;1000;58;78
quick;0.01;1000;72;57
quick;0.01;1000;47;67
quick;0.01;1000;48;61
quick;0.01;1000;77;63
quick;0.01;1000;74;41